frame,x_26,x_28,y_26,y_28,distance,time_seconds,X,Y,ángulo_26_28,velocidad_angular,aceleracion_angular,velocidad,aceleracion,delta_t,error_total_px_28,error_total_px_26,error_tibia_px,error_tibia,error_total_tibia_px,error_X,error_Y,error_ángulo_26_28,ángulo_26_28_error_positivo,ángulo_26_28_error_negativo,error_velocidad_angular,error_aceleracion_angular,velocidad_angular_error_positivo,velocidad_angular_error_negativo,error_ángulo,error_tiempo,aceleracion_angular_error_positivo,aceleracion_angular_error_negativo,error_aceleración,error_velocidad,error_aceleracion
32,295,292,261,384,123.03657992645928,0.5336380952380952,3,123,0.033788823547774335,-0.0009118808429779135,,-0.0011219470022045912,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03448275862068965,0.06827158216846399,-0.0006939350729153124,0.344827619737229,0.8620748195667041,0.6887433586314801,-0.6905671203174358,0.03448275862068965,0.02,,,17.24149639133408,0.42426411241641154,1.0618455056270173
33,295,292,261,384,123.03657992645928,0.5503142857142858,3,123,0.033803288084809036,0.0008673765783229676,,0.0010671904770517258,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03448275862068965,0.06828604670549868,-0.0006794705358806122,0.34482761654420574,0.8620805171521431,0.6905226096667344,-0.6887878565100886,0.03448275862068965,0.02,,,17.24161034304286,0.4242641082545253,1.0618524811175625
34,295,292,261,384,123.03657992645928,0.5669904761904762,3,123,0.03385422644516848,0.0030545561609032833,,0.0037582214323083544,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03448275862068965,0.06833698506585813,-0.0006285321755211681,0.3448279624405919,0.8620872470183075,0.6927104810420871,-0.6866013687202804,0.03448275862068965,0.02,,,17.24174494036615,0.42426455910666827,1.061863660299183
35,296,293,262,385,123.03657992645928,0.5836666666666667,3,123,0.03394647961407144,0.00553202897476353,,0.006806419251089817,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03448275862068965,0.06842923823476109,-0.0005362790066182066,0.3448288202485284,0.8620943000389203,0.6951896694718204,-0.6841256115222932,0.03448275862068965,0.02,,,17.241886000778404,0.42426567720018366,1.0618795405501527
36,297,293,263,385,122.06555615733704,0.6003428571428572,4,122,0.03408316972711559,0.008196722940968564,,0.01000537544456931,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03475706678180953,0.06884023650892512,-0.0006738970546939366,0.3475733556333356,0.8689589250223175,0.7033434342076397,-0.6869499883257026,0.03475706678180953,0.02,,,17.37917850044635,0.42426754755641055,1.0619001359782112
37,297,293,263,386,123.06502346320826,0.6170190476190476,4,123,0.034265717596070604,0.010946616927627738,,0.013471456690412604,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034474788755780576,0.06874050635185118,-0.0002090711597099726,0.3447527205810209,0.8619092189180706,0.7004520580896696,-0.678558824234414,0.034474788755780576,0.02,,,17.23818437836141,0.42427036951586056,1.0619272103778783
38,297,293,263,386,123.06502346320826,0.6336952380952381,4,123,0.03449400529603812,0.013689439461215898,,0.016846911884927037,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034474788755780576,0.06896879405181869,1.9216540257542547e-05,0.34475544593663077,0.8619158912649768,0.7032003313344775,-0.6758214524120456,0.034474788755780576,0.02,,,17.238317825299536,0.42427392255490154,1.061958320949352
39,297,293,263,386,123.06502346320826,0.6503714285714286,4,123,0.03476658330431764,0.01634534030231261,,0.02011539687818225,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034474788755780576,0.06924137206009821,0.000291794548537061,0.3447586632017088,0.8619222327953484,0.7058626667057302,-0.673171986101105,0.034474788755780576,0.02,,,17.238444655906967,0.424278116892895,1.0619931599010324
40,297,293,263,386,123.06502346320826,0.667047619047619,4,123,0.035080905789987266,0.018848578523878428,,0.02319600758289222,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034474788755780576,0.06955569454576785,0.0006061170342066893,0.3447622163724866,0.861928259919522,0.7083730112688517,-0.6706758542210948,0.034474788755780576,0.02,,,17.23856519839044,0.42428274914735437,1.0620304362250985
41,297,293,263,386,123.06502346320826,0.6837238095238095,4,123,0.035433473149972534,0.02114196047884246,,0.026018358623869694,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034474788755780576,0.06990826190575311,0.0009586843941919582,0.34476591529601963,0.8619338574924612,0.7106737910708817,-0.6683898701131968,0.034474788755780576,0.02,,,17.238677149849224,0.4242875714160846,1.0620684100964866
42,297,293,263,386,123.06502346320826,0.7004,4,123,0.035820359776536394,0.02319994048498295,,0.02855101220129462,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034474788755780576,0.07029514853231697,0.0013455710207558175,0.3447695956747794,0.8619393445287223,0.7127391318345417,-0.6663392508645758,0.034474788755780576,0.02,,,17.238786890574445,0.42429236950503596,1.062106092570415
43,297,293,263,386,123.06502346320826,0.7170761904761904,4,123,0.03623721799890234,0.02499720922240111,,0.03076282139469519,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034474788755780576,0.07071200675468292,0.0017624292431217617,0.34477308922438377,0.8619444342163224,0.7145433876711687,-0.6645489692263664,0.034474788755780576,0.02,,,17.238888684326447,0.42429692402306296,1.0621417164592208
44,298,293,263,386,123.10158406779338,0.7337523809523809,5,123,0.03667957826693792,0.026526458106074288,,0.032654490125657035,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034464549901996516,0.07114412816893444,0.0022150283649414043,0.3446738868196929,0.8616931982205975,0.71587423174546,-0.6628213155333116,0.034464549901996516,0.02,,,17.23386396441195,0.42430108752473633,1.062174279006806
45,298,293,264,386,122.10241602851272,0.7504285714285714,5,122,0.03714305068314194,0.02779246356449013,,0.03393526948608656,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034746574434109195,0.07188962511725114,0.0023964762490327474,0.3474966534494502,0.8687473990190848,0.7227857704633905,-0.6672008433344102,0.034746574434109195,0.02,,,17.374947980381695,0.42430408503876726,1.0622011751314622
46,298,293,264,386,122.10241602851272,0.767104761904762,5,122,0.03762349362419362,0.028810113541077185,,0.035177844694212944,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034746574434109195,0.07237006805830282,0.002876919190084426,0.34749895831853905,0.8687511210206602,0.7238080301781553,-0.6661878030960009,0.034746574434109195,0.02,,,17.375022420413202,0.4243070690177278,1.0622252428405698
47,298,293,264,386,122.10241602851272,0.7837809523809524,5,122,0.03811714483293521,0.029602157006206345,,0.0361449489011316,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034746574434109195,0.07286371926704441,0.003370570398826017,0.347500809556033,0.8687542804748827,0.7246037761182724,-0.6653994621058597,0.034746574434109195,0.02,,,17.375085609497653,0.42430946570557787,1.0622447810458666
48,298,293,264,387,123.10158406779338,0.8004571428571429,5,123,0.038620638698588304,0.03019237915109909,,0.03716729700275717,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034464549901996516,0.07308518860058483,0.004156088796591788,0.3446822748590299,0.8617069504919299,0.7195569288691589,-0.6591721705669608,0.034464549901996516,0.02,,,17.234139009838596,0.42431202582493643,1.0622616809755103
49,298,293,264,387,123.10158406779338,0.8171333333333334,5,123,0.039131089546650774,0.03060955970677284,,0.03768085287521438,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034464549901996516,0.07359563944864729,0.004666539644654258,0.34468329811806897,0.8617088764526483,0.7199761559429108,-0.6587570365293651,0.034464549901996516,0.02,,,17.234177529052964,0.42431336018986243,1.0622726485296736
50,298,293,264,387,123.10158406779338,0.8338095238095238,5,123,0.039646287595366106,0.030894229077732774,,0.03803128538022188,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034464549901996516,0.07411083749736262,0.00518173769336959,0.34468400441224545,0.8617103049107906,0.7202622379022237,-0.6584737797467581,0.034464549901996516,0.02,,,17.23420609821581,0.4243142812215858,1.0622803405849255
51,298,293,265,387,122.10241602851272,0.8504857142857143,5,122,0.040164589312726484,0.031080342845710793,,0.037949849524557884,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034746574434109195,0.07491116374683568,0.005418014878617289,0.34750439875997396,0.8687611214966747,0.7260891403656587,-0.6639284546742371,0.034746574434109195,0.02,,,17.375222429933494,0.42431411243375056,1.0622835345043562
